,id,crop_type,crop_class,soil_type,soil_class,deposition,rank SAW,rank_topsi,rank prom,geometry
0,23458.0,Meerjarige luzerne,feed crop,Droge leem,Loam,16425513.936817521,8,5,7,"POLYGON ((215954.112999998 165209.3269000016, 215951.7599999979 165202.6999999993, 215940.7599999979 165188.0799999982, 215939.0658999979 165189.4505999982, 215931.4125000015 165195.6424000002, 215917.5099999979 165206.8900000006, 215886.6400000006 165171.5199999996, 215862.2837999985 165139.8761, 215861.1400000006 165138.3900000006, 215801.0099999979 165169.7699999996, 215801.5687000006 165170.4602000006, 215887.5399999991 165274.9200000018, 215892.7584000006 165270.0991999991, 215924.9399999976 165240.370000001, 215950.9900000021 165213.0799999982, 215951.8500000015 165212.0500000007, 215954.112999998 165209.3269000016))"
1,50528.0,Meerjarige fruitteelten (appel),fruit,Droge leem,Loam,28661767.619924154,12,10,11,"POLYGON ((215026.25 165760.25, 214766.3603999987 165639.6493000016, 214756.5 165646.75, 214751 165657.75, 214748.5 165683.25, 214748.5 165695.25, 214752.5 165701.25, 214741.5 165730.75, 214721.5 165768.25, 214720.942900002 165769.2281999998, 214725 165780.5, 214739.2800000012 165799.620000001, 214889.2800000012 165869.120000001, 214862.7800000012 165931.620000001, 215025.7234999985 166005.2820999995, 215055 165956, 215065.3986999989 165932.2023999989, 215066.4640000015 165929.3579999991, 215071 165917.620000001, 215074.25 165906.5, 215074.75 165884, 215088.25 165860, 215088.75 165852, 215071.75 165845, 215076.7412 165831.6561000012, 215093.6799999997 165786.370000001, 215026.25 165760.25))"
2,198452.0,Spruitkool - industrie,non-leafy vegetable,Droge leem,Loam,22737459.356827177,1,2,3,"POLYGON ((215529.1520999968 164514.4323999994, 215529.6900999993 164513.9525000006, 215532.9296000004 164510.9204999991, 215534.3699999973 164509.5, 215527.6199999973 164504.5, 215515.1199999973 164489.5, 215514.5056999996 164490.1143000014, 215508.1199999973 164496.5, 215499.1199999973 164482.75, 215492.6199999973 164467.75, 215455.3633999974 164424.5170999989, 215417 164380, 215194.4883999974 164575.2690999992, 215194.0200000033 164588.3500000015, 215194.0335000008 164605.4613000005, 215194.200000003 164621.0899999999, 215192.9597999975 164676.7115000002, 215191.2199999988 164713, 215190.7700000033 164726.9499999993, 215190.25 164755.1600000001, 215190.2400000021 164755.8500000015, 215191.75 164757, 215201.5 164760.120000001, 215250.5 164763, 215255.7840000018 164757.7492999993, 215261.6300000027 164751.9400000013, 215529.1520999968 164514.4323999994))"
3,223856.0,Spruitkool - industrie,non-leafy vegetable,Droge leem,Loam,23001316.667312764,7,12,8,"POLYGON ((215029.9600000009 164298.75, 215031.9224999994 164296.0012999997, 215033 164294, 215034.8382999972 164291.9184999987, 215038.1000000015 164287.3599999994, 215044.4900000021 164280.9899999984, 215046.1393999979 164279.6343999989, 215052.2899999991 164273.4499999993, 215061.4099999964 164265.5799999982, 215065.9804000035 164261.6294, 214960.4059000015 164194.563099999, 214959 164193.6700000018, 214901.3915000036 164255.0031999983, 214901 164255.4200000018, 215015.9487999976 164324.7820000015, 215029.9600000009 164298.75))"
4,242559.0,Wintertarwe,cereals,Droge leem,Loam,23492307.321859643,11,9,12,"POLYGON ((215254.2968000025 165217.8126999997, 215255.0200000033 165195.4200000018, 215190.6000000015 165189.6799999997, 215188.1909999996 165189.4651999995, 215179.7004999965 165188.7082000002, 215178.8999999985 165191.1400000006, 215177.5376999974 165196.4593999982, 215176.615199998 165200.0612000003, 215167.3299999982 165241.6600000001, 215246.3599999994 165249.5, 215250.3894999996 165233.5080999993, 215254.2968000025 165217.8126999997))"
5,256950.0,Meerjarige fruitteelten (peer),fruit,Droge leem,Loam,23061220.730422188,6,11,13,"POLYGON ((215248.5 165040, 215251.0001000017 164953.2773000002, 215186.5399999991 164953.746100001, 215186.8449999988 164956.875, 215186.8400000036 164961.3399999999, 215186.8400000036 164965.7199999988, 215186.4153999984 164974.311900001, 215186.7599999979 164979.3200000003, 215186.5517999977 164981.0621999986, 215186.5837000012 164982.6398999989, 215186.6908999979 164987.9495999999, 215186.7194000036 164989.3614000008, 215186.7358999997 164990.1794999987, 215187 165003.25, 215187 165007.5899999999, 215187.4299999997 165011.1499999985, 215187.4099999964 165014.7600000016, 215187.3999999985 165016.6600000001, 215187.3200000003 165017.3999999985, 215187.200000003 165018.5, 215187.799999997 165035.2199999988, 215187.7199999988 165040.4941000007, 215247.7700000033 165040.629999999, 215248.5200000033 165040.623300001, 215248.5 165040))"
6,263531.0,Suikerbieten,root crop,Droge leem,Loam,25447905.749749307,4,6,4,"POLYGON ((214809.9103000015 164460.7094999999, 214615.2400000021 164455.3099999987, 214520.2986000031 164585.4010000005, 214519.4600000009 164586.5500000007, 214527.928199999 164590.3227000013, 214528.3408000022 164590.5888999999, 214556.9299999997 164609.0350000001, 214565.5816999972 164614.6176000014, 214715.133100003 164711.1180000007, 214896.7409000024 164518.6585999988, 214809.9103000015 164460.7094999999))"
7,324597.0,Siloma?s,cereals,Droge leem,Loam,26676559.25640193,9,4,5,"POLYGON ((215125.9001000002 165708.8156000003, 215128.6882999986 165703.8546000011, 215130.6599999964 165705.8999999985, 215132.4799999967 165700.6600000001, 215136.7100000009 165693.1099999994, 215143.9799999967 165680.9800000004, 215158.7299999967 165656.9400000013, 215159.3299999982 165655.9600000009, 215167.3599999994 165641.7600000016, 215173.1726000011 165632.4116999991, 215174.8282999992 165629.8781000003, 215176.1499999985 165627.1999999993, 215179.0399999991 165621.6499999985, 215180.7199999988 165617.2399999984, 215182.5600000024 165612.4200000018, 215191.9600000009 165582.9699999988, 215213.4299999997 165511.9400000013, 215214.6700000018 165507.3999999985, 215214.9099999964 165506.5199999996, 215215.6599999964 165503.8000000007, 215216.0799999982 165502.25, 215215.6000000015 165496.4600000009, 215212.25 165493.8999999985, 215209.9099999964 165491.7100000009, 215207.2299999967 165489.2100000009, 215204.5300000012 165486.8999999985, 215202.5099999979 165485.1700000018, 215193.1199999973 165478.379999999, 215187.9900000021 165474.6700000018, 215178.8200000003 165468.3099999987, 215163.1199999973 165458.1499999985, 215159 165454.75, 215150.7800000012 165448.4400000013, 215148.2700000033 165446.5100000016, 215146.8200000003 165445.6700000018, 215137.5099999979 165440.3200000003, 215124.8716999963 165432.4853000008, 215107 165426, 215076 165559, 215005.1194000021 165536.5718999989, 214899 165503, 214886.5900000036 165577, 214753.5 165532.75, 214724 165537.75, 214734.0415000021 165562.3093999997, 214736.9117000028 165569.3293000013, 214745.8175000027 165591.1110000014, 215108.5349999964 165752.6147999987, 215115.197800003 165727.8590000011, 215125.9001000002 165708.8156000003))"
8,355428.0,Grasland,pasture,Droge leem,Loam,16217927.23735657,3,3,2,"POLYGON ((215890.75 165120.8399999999, 215935.0590000004 165097.7983999997, 215929.5279000029 165089.2318000011, 215901.9712999985 165046.5494000018, 215856 164947.5, 215695 164951.25, 215758 165065, 215809.2700000033 165163.2100000009, 215809.8258000016 165162.9210000001, 215890.75 165120.8399999999))"
9,391890.0,Grasland,pasture,Droge leem,Loam,30274136.380560573,10,7,6,"POLYGON ((214708 165531.5, 214711.0521000028 165483.4230999984, 214561.6629000008 165495.2025000006, 214555 165495.8099999987, 214555 165506, 214567.1300000027 165521.7600000016, 214579.0011000037 165546.0450000018, 214587.200000003 165561.6700000018, 214589.751199998 165566.3354000002, 214662 165550.5, 214701.2604999989 165542.4587000012, 214708 165531.5))"
